FarmerID,Gender,Age,HaveHandPhone,isTrained,FarmSize (Hectare),FarmProduction (Kg),SalesQuota (Kg),Sales Last Year (Kg),Number of Farm,Number Of Trees,FarmerStatus
720403601101,Male,46,Yes,1,2,750,845,,1,1100,Bad
720403611101,Male,42,Yes,1,2,420,598,,1,1600,Bad
720403628101,Male,43,Yes,1,2,550,715,,1,1200,Bad
720403630101,Male,36,Yes,1,2,510,676,,1,720,Bad
720403631101,Male,55,Yes,1,2,990,1300,,1,700,Good
720403634101,Male,60,Yes,1,2,1080,1430,,1,1500,Good
720403639101,Male,61,Yes,1,"1,5",955,1248,,1,900,Good
720403642101,Male,38,Yes,1,2,1090,1430,,1,1200,Good
720403646101,Male,58,Yes,1,"1,5",750,"981,5",,1,800,Bad
720403700101,Male,66,Yes,1,2,920,1209,,1,940,Good
720403702101,Male,53,Yes,1,"1,5",480,650,,1,1250,Bad
720403714101,Male,39,Yes,1,"1,5",370,520,,1,500,Bad
720403739101,Male,39,Yes,1,"1,5",750,988,,1,500,Bad
720403876101,Male,37,Yes,1,"1,25",658,871,,1,752,Bad
720403881101,Male,63,Yes,1,"1,5",935,1235,,1,1200,Good
720403891101,Male,60,Yes,1,"1,3",970,"1267,5",,1,1100,Good
720403895101,Male,70,Yes,1,2,1080,1443,"293,09",2,1200,Good
720403926101,Male,49,Yes,1,5,340,455,,1,350,Bad
720403958101,Male,50,Yes,1,2,980,1300,,1,1200,Good
720403970101,Male,60,Yes,1,4,2280,"2970,5",,1,2800,Good
720404086101,Male,49,Yes,1,2,860,1131,,1,650,Good
720404096101,Male,57,Yes,1,2,490,741,,1,1500,Bad
720404098101,Male,66,Yes,1,4,850,1235,,1,3600,Good
720404099101,Male,47,Yes,1,"1,69",450,611,,1,1600,Bad
720404100101,Male,50,Yes,1,2,430,650,,1,1500,Bad
720404113101,Male,43,Yes,1,2,630,975,,1,1320,Bad
720404114101,Male,40,Yes,1,"1,97",560,754,,1,1000,Bad
720404116101,Male,41,Yes,1,2,430,650,,1,1040,Bad
720404132101,Male,45,Yes,1,"1,5",450,650,,1,1010,Bad
720404133101,Male,43,Yes,1,2,522,780,,1,1800,Bad
720404136101,Male,36,Yes,1,"1,5",90,"110,5",,1,800,Bad
720404140101,Male,40,Yes,1,2,80,104,,1,600,Bad
720404145101,Male,37,Yes,1,"1,5",80,"110,5",,1,270,Bad
720404157101,Male,55,Yes,1,"1,5",780,975,,1,1500,Bad
720404203101,Male,53,Yes,1,"1,5",970,1235,,1,1200,Good
720404209101,Male,49,Yes,1,2,1180,1495,,1,1600,Good
720404211101,Male,42,Yes,1,2,930,1170,,1,1600,Good
720404213101,Male,62,Yes,1,"1,5",440,585,,1,1500,Bad
720404214101,Male,51,Yes,1,2,490,650,,1,1500,Bad
720404218101,Male,42,Yes,1,2,490,650,,1,1500,Bad
720404220101,Male,35,Yes,1,2,490,650,,1,1600,Bad
720404221101,Male,40,Yes,1,2,570,780,,1,1400,Bad
720404222101,Male,35,Yes,1,2,570,780,,1,1500,Bad
720404224101,Male,38,Yes,1,2,510,780,,1,900,Bad
720404226101,Male,34,Yes,1,"2,5",670,910,,1,2100,Bad
720404228101,Male,55,Yes,1,2,490,650,,1,1500,Bad
720404229101,Male,46,Yes,1,2,490,702,,1,1500,Bad
720404234101,Female,42,Yes,1,"1,5",770,975,,1,1300,Bad
720404235101,Female,45,Yes,1,2,960,1235,,1,1700,Good
